SEQUENTIAL
#field0;field1
2069991600;2069991600
2069991601;2069991601
2069991602;2069991602
2069991603;2069991603
2069991604;2069991604
2069991605;2069991605
2069991606;2069991606
2069991607;2069991607
2069991608;2069991608
2069991609;2069991609
2069991610;2069991610
2069991611;2069991611
2069991612;2069991612
2069991613;2069991613
2069991614;2069991614
2069991615;2069991615
2069991616;2069991616
2069991617;2069991617
2069991618;2069991618
2069991619;2069991619
2069991620;2069991620
2069991621;2069991621
2069991622;2069991622
2069991623;2069991623
2069991624;2069991624
2069991625;2069991625
2069991626;2069991626
2069991627;2069991627
2069991628;2069991628
2069991629;2069991629
2069991630;2069991630
2069991631;2069991631
2069991632;2069991632
2069991633;2069991633
2069991634;2069991634
2069991635;2069991635
2069991636;2069991636
2069991637;2069991637
2069991638;2069991638
2069991639;2069991639
2069991640;2069991640
2069991641;2069991641
2069991642;2069991642
2069991643;2069991643
2069991644;2069991644
2069991645;2069991645
2069991646;2069991646
2069991647;2069991647
2069991648;2069991648
2069991649;2069991649
2069991650;2069991650
2069991651;2069991651
2069991652;2069991652
2069991653;2069991653
2069991654;2069991654
2069991655;2069991655
2069991656;2069991656
2069991657;2069991657
2069991658;2069991658
2069991659;2069991659
2069991660;2069991660
2069991661;2069991661
2069991662;2069991662
2069991663;2069991663
2069991664;2069991664
2069991665;2069991665
2069991666;2069991666
2069991667;2069991667
2069991668;2069991668
2069991669;2069991669
2069991670;2069991670
2069991671;2069991671
2069991672;2069991672
2069991673;2069991673
2069991674;2069991674
2069991675;2069991675
2069991676;2069991676
2069991677;2069991677
2069991678;2069991678
2069991679;2069991679
2069991680;2069991680
2069991681;2069991681
2069991682;2069991682
2069991683;2069991683
2069991684;2069991684
2069991685;2069991685
2069991686;2069991686
2069991687;2069991687
2069991688;2069991688
2069991689;2069991689
2069991690;2069991690
2069991691;2069991691
2069991692;2069991692
2069991693;2069991693
2069991694;2069991694
2069991695;2069991695
2069991696;2069991696
2069991697;2069991697
2069991698;2069991698
2069991699;2069991699
2069991700;2069991700
2069991701;2069991701
2069991702;2069991702
2069991703;2069991703
2069991704;2069991704
2069991705;2069991705
2069991706;2069991706
2069991707;2069991707
2069991708;2069991708
2069991709;2069991709
2069991710;2069991710
2069991711;2069991711
2069991712;2069991712
2069991713;2069991713
2069991714;2069991714
2069991715;2069991715
2069991716;2069991716
2069991717;2069991717
2069991718;2069991718
2069991719;2069991719
2069991720;2069991720
2069991721;2069991721
2069991722;2069991722
2069991723;2069991723
2069991724;2069991724
2069991725;2069991725
2069991726;2069991726
2069991727;2069991727
2069991728;2069991728
2069991729;2069991729
2069991730;2069991730
2069991731;2069991731
2069991732;2069991732
2069991733;2069991733
2069991734;2069991734
2069991735;2069991735
2069991736;2069991736
2069991737;2069991737
2069991738;2069991738
2069991739;2069991739
2069991740;2069991740
2069991741;2069991741
